[326298][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06864549964666367, 'lighthouse.angle1y_3': -0.44632863998413086} 
[326308][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06864549964666367, 'lighthouse.angle1y_3': -0.44632863998413086} 
[326318][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06867790222167969, 'lighthouse.angle1y_3': -0.44645971059799194} 
[326328][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06867790222167969, 'lighthouse.angle1y_3': -0.44645971059799194} 
[326338][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06865876913070679, 'lighthouse.angle1y_3': -0.4463491141796112} 
[326348][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06865876913070679, 'lighthouse.angle1y_3': -0.4463491141796112} 
[326358][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06862515956163406, 'lighthouse.angle1y_3': -0.4464585483074188} 
[326368][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06862515956163406, 'lighthouse.angle1y_3': -0.4464585483074188} 
[326378][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06857267767190933, 'lighthouse.angle1y_3': -0.4462972581386566} 
[326388][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06857267767190933, 'lighthouse.angle1y_3': -0.4462972581386566} 
[326398][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06858576089143753, 'lighthouse.angle1y_3': -0.44639769196510315} 
[326408][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06858576089143753, 'lighthouse.angle1y_3': -0.44639769196510315} 
[326418][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06859252601861954, 'lighthouse.angle1y_3': -0.44632792472839355} 
[326428][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06859252601861954, 'lighthouse.angle1y_3': -0.44632792472839355} 
[326438][lighthouse3]: {'lighthouse.angle0x_3': 0.010739356279373169, 'lighthouse.angle0y_3': -0.3487028181552887, 'lighthouse.angle1x_3': -0.06864506751298904, 'lighthouse.angle1y_3': -0.4464089870452881} 
